model: 7, best: 7, AStype: 2, top: 7, p= 0.999997, second: 9, p= 2.98155e-06, third: 5, p= 4.05519e-08
model: 7, best: 7, AStype: 2, top: 7, p= 1.0, second: 9, p= 1.2907e-08, third: 5, p= 1.2567e-09
model: 7, best: 7, AStype: 2, top: 7, p= 1.0, second: 9, p= 2.69923e-07, third: 5, p= 1.31599e-08
model: 7, best: 7, AStype: 2, top: 7, p= 1.0, second: 9, p= 3.39475e-07, third: 5, p= 3.89242e-08
model: 7, best: 7, AStype: 2, top: 7, p= 0.999999, second: 9, p= 1.15454e-06, third: 5, p= 1.11628e-07
model: 7, best: 7, AStype: 2, top: 7, p= 1.0, second: 5, p= 7.4137e-09, third: 9, p= 6.52502e-09
model: 7, best: 7, AStype: 3, top: 7, p= 1.0, second: 9, p= 2.6723e-08, third: 5, p= 4.48186e-10
model: 7, best: 7, AStype: 3, top: 7, p= 1.0, second: 9, p= 3.29271e-08, third: 5, p= 4.02398e-10
model: 7, best: 7, AStype: 3, top: 7, p= 1.0, second: 9, p= 8.84087e-08, third: 5, p= 7.30436e-09
model: 7, best: 7, AStype: 3, top: 7, p= 1.0, second: 9, p= 1.2796e-07, third: 5, p= 1.89578e-09
