model: 7, best: 7, AStype: 3, top: 7, p= 1.0, second: 9, p= 9.0857e-101, third: 5, p= 4.77509e-116
model: 7, best: 7, AStype: 3, top: 7, p= 1.0, second: 5, p= 7.68021e-63, third: 9, p= 2.44274e-94
model: 7, best: 7, AStype: 3, top: 7, p= 1.0, second: 5, p= 2.43361e-81, third: 9, p= 1.11762e-94
model: 7, best: 7, AStype: 3, top: 7, p= 1.0, second: 5, p= 8.77058e-78, third: 9, p= 8.08305e-98
model: 7, best: 7, AStype: 3, top: 7, p= 1.0, second: 5, p= 9.93444e-102, third: 9, p= 2.22224e-124
model: 7, best: 7, AStype: 3, top: 7, p= 1.0, second: 9, p= 1.54915e-110, third: 5, p= 2.70637e-120
model: 8, best: 8, AStype: 1, top: 8, p= 1.0, second: 0, p= 1.51822e-13, third: 5, p= 3.85204e-30
model: 8, best: 8, AStype: 1, top: 8, p= 1.0, second: 5, p= 7.83462e-29, third: 9, p= 1.17292e-45
model: 8, best: 8, AStype: 1, top: 8, p= 1.0, second: 0, p= 5.83689e-16, third: 9, p= 1.40027e-20
model: 8, best: 8, AStype: 1, top: 8, p= 1.0, second: 9, p= 4.30479e-29, third: 5, p= 8.76435e-53
model: 8, best: 8, AStype: 1, top: 8, p= 1.0, second: 9, p= 1.54605e-22, third: 0, p= 7.55561e-41
model: 8, best: 8, AStype: 1, top: 8, p= 1.0, second: 0, p= 1.04563e-11, third: 9, p= 3.19318e-23
model: 8, best: 8, AStype: 1, top: 8, p= 0.999006, second: 0, p= 0.000993646, third: 9, p= 6.0597e-20
model: 8, best: 8, AStype: 1, top: 8, p= 1.0, second: 9, p= 9.52164e-21, third: 0, p= 6.72189e-23
model: 8, best: 8, AStype: 1, top: 8, p= 1.0, second: 5, p= 2.96603e-38, third: 0, p= 3.12544e-42
model: 8, best: 8, AStype: 2, top: 8, p= 1.0, second: 5, p= 7.17957e-41, third: 9, p= 8.80162e-52
model: 8, best: 8, AStype: 2, top: 8, p= 1.0, second: 5, p= 1.96439e-33, third: 9, p= 4.89836e-43
model: 8, best: 8, AStype: 2, top: 8, p= 1.0, second: 9, p= 5.50789e-31, third: 0, p= 2.47881e-71
model: 8, best: 8, AStype: 2, top: 8, p= 1.0, second: 9, p= 2.35459e-46, third: 0, p= 1.22047e-57
